query_id,db_id,tables,data_split,instruction_tokens,targeted_instruction_tokens,output_tokens,instruction,targeted_instruction,output
1,department_management,['head'],train_spider,171,92,12,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

How many heads of the departments are older than 56 ?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

Write a SQL query to answer the following question:

How many heads of the departments are older than 56 ?
",SELECT COUNT(*) FROM head WHERE age > 56;
2,department_management,['head'],train_spider,175,96,14,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

List the name, born state and age of the heads of departments ordered by age.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

Write a SQL query to answer the following question:

List the name, born state and age of the heads of departments ordered by age.
","SELECT name, born_state, age FROM head ORDER BY age;"
3,department_management,['department'],train_spider,169,113,17,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

List the creation year, name and budget of each department.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

List the creation year, name and budget of each department.
","SELECT Creation, name, Budget_in_Billions FROM department;"
4,department_management,['department'],train_spider,169,113,29,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

What are the maximum and minimum budget of the departments?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

What are the maximum and minimum budget of the departments?
","SELECT MAX(Budget_in_Billions), MIN(Budget_in_Billions) FROM department;"
5,department_management,['department'],train_spider,180,124,27,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

What is the average number of employees of the departments whose rank is between 10 and 15?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

What is the average number of employees of the departments whose rank is between 10 and 15?
",SELECT AVG(Num_Employees) FROM department WHERE Ranking BETWEEN 10 AND 15;
6,department_management,['head'],train_spider,172,93,14,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

What are the names of the heads who are born outside the California state?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

Write a SQL query to answer the following question:

What are the names of the heads who are born outside the California state?
",SELECT name FROM head WHERE born_state != 'California';
7,department_management,"['management', 'head', 'department']",train_spider,179,179,66,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?
",SELECT DISTINCT T1.Creation FROM department AS T1 JOIN management AS T2 ON T1.department_ID = T2.department_ID JOIN head AS T3 ON T2.head_ID = T3.head_ID WHERE T3.born_state = 'Alabama';
8,department_management,['head'],train_spider,173,94,20,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

What are the names of the states where at least 3 heads were born?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

Write a SQL query to answer the following question:

What are the names of the states where at least 3 heads were born?
",SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3;
9,department_management,['department'],train_spider,166,110,18,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

In which year were most departments established?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

In which year were most departments established?
",SELECT Creation FROM department GROUP BY Creation ORDER BY COUNT(*) DESC LIMIT 1;
10,department_management,"['management', 'department']",train_spider,180,152,54,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
","SELECT T1.name, T1.Num_Employees FROM department AS T1 JOIN management AS T2 ON T1.department_ID = T2.department_ID WHERE T2.temporary_acting = 'Yes';"
