primary_table,is_multi_table,secondary_table,question
usa_states,False,,What is the total population in the USA according to the data in the usa_states table?
usa_states,False,,Which state has the highest population density?
usa_states,False,,What are the top 5 states with the highest percentage of Hispanic population?
usa_states,False,,What is the average household size in states belonging to the New England sub-region?
usa_states,False,,Which state has the highest number of vacant housing units?
usa_states,False,,In which state is the median age for males the lowest?
usa_states,False,,What is the total number of farms in the Pacific sub-region states?
usa_states,False,,How many states have a population greater than 10 million?
usa_states,False,,Which state has the largest land area in square miles?
usa_states,False,,What are the top 3 states with the highest percentage of the population under the age of 5?
us_pois_safegraph,False,,How many Points of Interest are there in the dataset?
us_pois_safegraph,False,,What is the most common city for Points of Interest?
us_pois_safegraph,False,,What is the average latitude and longitude of Points of Interest in Texas?
us_pois_safegraph,False,,Which top category of Points of Interest has the highest number of locations?
us_pois_safegraph,False,,"What are the top 5 cities with the highest number of Points of Interest, and how many Points of Interest are there in each city?"
us_pois_safegraph,False,,"In California, what is the proportion of Points of Interest that include a parking lot?"
us_pois_safegraph,False,,What are the top 3 most common street names for Points of Interest locations?
us_pois_safegraph,False,,Which brand has the highest number of Points of Interest in the United States?
us_pois_safegraph,False,,What are the operating hours of the Points of Interest with the longest opening hours in New York City?
us_pois_safegraph,False,,"For Points of Interest in the ""Restaurants and Other Eating Places"" category, which sub_category has the highest occurrence, and what is the associated average latitude and longitude?"
airports,False,,How many airports are there in the database?
airports,False,,What is the most common type of airport?
airports,False,,What is the average elevation of airports across all continents?
airports,False,,Which continent has the highest number of airports?
airports,False,,How many airports provide scheduled services?
airports,False,,What are the top 5 countries with the most airports?
airports,False,,Which municipality has the highest number of airports within its jurisdiction?
airports,False,,What is the average latitude and longitude of airports within Europe?
airports,False,,What are the top 3 most common airport types in North America?
airports,False,,How many airports have a Wikipedia link provided?
aishub_2021_06_16,False,,How many vessels are recorded in this dataset?
aishub_2021_06_16,False,,What is the most common vessel type in the dataset?
aishub_2021_06_16,False,,What is the average speed of all vessels in the dataset?
aishub_2021_06_16,False,,"What are the top 5 most frequent destinations for the vessels, and how many times do they appear in the dataset?"
aishub_2021_06_16,False,,"What is the maximum vessel length (bow to stern) found in the dataset, and which vessel has that length?"
aishub_2021_06_16,False,,"Which vessel had the highest speed on June 16, 2021, and what was its speed?"
aishub_2021_06_16,False,,"How many vessels were within a 10-kilometer radius of the coordinates (40.7128, -74.0060) on June 16, 2021?"
aishub_2021_06_16,False,,What proportion of vessels have an IMO ID in the dataset?
aishub_2021_06_16,False,,"For vessels with a device type of 10, what is the most common destination and the average speed?"
aishub_2021_06_16,False,,"Which type of vessel has the highest average speed, and what is the average speed for that type?"
ca_crops,False,,How many crops are there in the dataset?
ca_crops,False,,Which crop has the largest acreage?
ca_crops,False,,What is the most common crop type grown in California in 2014?
ca_crops,False,,What is the total acreage of grapes in Sonoma County?
ca_crops,False,,Which county has the highest acreage of almond crops?
ca_crops,False,,What is the average acreage of citrus crops in Tulare County?
ca_crops,False,,List the top 5 crops with the largest acreage in Fresno County.
ca_crops,False,,In which county are mixed pasture crops most commonly grown?
ca_crops,False,,What proportion of total acreage is dedicated to deciduous fruits and nuts in Stanislaus County?
ca_crops,False,,How many acres of truck nursery and berry crops are there in San Joaquin County?
ca_tweets,False,,How many tweets are in the ca_tweets table?
ca_tweets,False,,What is the most common language used in the tweets?
ca_tweets,False,,What is the average number of followers for users in the ca_tweets table?
ca_tweets,False,,Which top 5 locations have the most tweets originating from them?
ca_tweets,False,,"On average, how many people do users from California follow?"
ca_tweets,False,,What are the top 3 most common sources for the tweets in the ca_tweets table?
ca_tweets,False,,What proportion of tweets are sent from iOS devices compared to Android devices?
ca_tweets,False,,Which county in California has the highest number of tweets?
ca_tweets,False,,What are the top 5 most frequently used hashtags in the ca_tweets table?
ca_tweets,False,,"For users with more than 1000 followers, what is the average number of tweets they have posted?"
cell_towers_us,False,,How many cell towers are there in the United States?
cell_towers_us,False,,What is the most common radio technology used by cell towers?
cell_towers_us,False,,What is the average range of cell towers in the country?
cell_towers_us,False,,Which mobile country code (MCC) has the highest number of cell towers?
cell_towers_us,False,,What are the top 5 most frequently occurring network codes (net) and how many cell towers are associated with each?
cell_towers_us,False,,In which area code do cell towers have the highest average signal strength?
cell_towers_us,False,,"How many cell towers were created before a specific date, such as January 1, 2016?"
cell_towers_us,False,,What is the average number of samples taken from cell towers for each radio technology type?
cell_towers_us,False,,Which geographical location (latitude and longitude) has the highest density of cell towers within a specified radius?
cell_towers_us,False,,"For cell towers with changeable status, which area code has the highest number of cell towers and what is the associated average signal strength?"
cell_towers_world,False,,How many cell towers use the GSM radio type?
cell_towers_world,False,,What is the most common Mobile Country Code in the dataset?
cell_towers_world,False,,Can you provide the average range of cell towers for each radio type?
cell_towers_world,False,,Which radio type has the highest average signal strength?
cell_towers_world,False,,What is the total number of cell towers for each network code?
cell_towers_world,False,,Can you give me the top 5 area codes with the highest number of cell towers?
cell_towers_world,False,,What is the average number of samples per cell tower for each Mobile Country Code?
