primary_table,is_multi_table,secondary_table,question
ca_tweets,False,,How many tweets are in the ca_tweets table?
ca_tweets,False,,Which user has the highest number of followers?
ca_tweets,False,,What is the most common language used in the tweets?
ca_tweets,False,,What is the average number of followees for users in the ca_tweets table?
ca_tweets,False,,What are the top 5 most frequent locations mentioned in the tweets?
ca_tweets,False,,What is the proportion of tweets sent from iOS devices compared to Android devices?
ca_tweets,False,,Which county in California has the highest number of tweets mentioned?
ca_tweets,False,,What is the most common source of tweets in the ca_tweets table?
ca_tweets,False,,What is the average number of tweet engagements for users who joined before 2015?
ca_tweets,False,,"For tweets containing a specific hashtag, which user has the highest number of followers and what is their location?"
ca_tweets,True,usa_counties,Which county has the highest population in California?
ca_tweets,True,usa_counties,What is the average population density in California counties?
ca_tweets,True,usa_counties,How many tweets are from the county with the highest number of farms in California?
ca_tweets,True,usa_counties,What is the median age of the county with the highest number of tweets in California?
ca_tweets,True,usa_counties,Which California county has the highest percentage of Hispanic population and what is the total number of tweets from that county?
ca_tweets,True,usa_counties,What is the average number of males and females in the counties where the top 5 most frequent tweet locations are?
ca_tweets,True,usa_counties,"In which California county with a population over 500,000 is the highest proportion of tweets sent from iOS devices?"
ca_tweets,True,usa_counties,What is the total number of tweets from counties with a median age above 40 in California?
ca_tweets,True,usa_counties,"Which county has the highest number of owner-occupied housing units in California, and what is the total number of tweets from that county?"
ca_tweets,True,usa_counties,What is the difference in the average number of followers for users who tweet from counties with a population density above 1000 people per square mile compared to those with a population density below 1000 people per square mile in California?
craigslist_vehicles,False,,How many vehicles are listed for sale in the craigslist_vehicles table?
craigslist_vehicles,False,,What is the most common vehicle manufacturer among the listings?
craigslist_vehicles,False,,What is the average price of vehicles listed in the craigslist_vehicles table?
craigslist_vehicles,False,,"What are the top 5 most frequently listed vehicle models, and how many times do they occur in the table?"
craigslist_vehicles,False,,What percentage of vehicles have a clean title status in the craigslist_vehicles table?
craigslist_vehicles,False,,What is the average odometer reading for vehicles with an excellent condition?
craigslist_vehicles,False,,Which state has the highest number of vehicle listings in the craigslist_vehicles table?
craigslist_vehicles,False,,What is the most popular paint color among the listed vehicles?
craigslist_vehicles,False,,"For vehicles with a price below $10,000, which vehicle type is the most common among the listings?"
craigslist_vehicles,False,,"In the craigslist_vehicles table, what is the average price difference between vehicles with a clean title and vehicles with a salvage title?"
craigslist_vehicles,True,usa_counties,What is the average price of vehicles listed in states with a population greater than 1 million?
craigslist_vehicles,True,usa_counties,Which vehicle manufacturer has the highest average listing price in counties with a population density of more than 100 people per square mile?
craigslist_vehicles,True,usa_counties,What is the most common type of fuel for vehicles listed in states with a high proportion of agricultural land (more than 50% of total land area)?
craigslist_vehicles,True,usa_counties,"In states with a median age greater than 40, what is the most common vehicle type listed for sale?"
craigslist_vehicles,True,usa_counties,"What is the average price of vehicles listed in counties with a median household income higher than $60,000?"
craigslist_vehicles,True,usa_counties,"Which state has the highest number of electric vehicles listed for sale, and what is the average price of electric vehicles in that state?"
craigslist_vehicles,True,usa_counties,"In counties where the majority of the population is aged 25-34, what is the most common vehicle manufacturer listed?"
craigslist_vehicles,True,usa_counties,What is the average price of vehicles listed in states with a high proportion of renters (more than 30% of households)?
craigslist_vehicles,True,usa_counties,"For states with a high percentage of Hispanic population (more than 20%), what is the most common paint color among the listed vehicles?"
craigslist_vehicles,True,usa_counties,"In counties with a population density lower than 50 people per square mile, what is the most common type of transmission for listed vehicles?"
nyt_covid_counties_v2,False,,How many counties have reported COVID-related data in the database?
nyt_covid_counties_v2,False,,Which state has the highest number of reported COVID cases?
nyt_covid_counties_v2,False,,What is the highest number of deaths reported in a single county?
nyt_covid_counties_v2,False,,What is the average percentage of the population that has tested positive for COVID across all counties?
nyt_covid_counties_v2,False,,Which county has the highest daily average percentage of the population infected in the last 7 days?
nyt_covid_counties_v2,False,,In which state can we find the county with the highest total mortality percentage due to COVID?
nyt_covid_counties_v2,False,,What is the difference in the total number of cases between the county with the most cases and the county with the least cases?
nyt_covid_counties_v2,False,,Which county had the highest increase in cases between a 1-day lag and a 7-day lag?
nyt_covid_counties_v2,False,,"What is the average daily death percentage of the population infected in the last 7 days for counties with more than 10,000 cases?"
nyt_covid_counties_v2,False,,Are there any counties where the daily cases percentage of the population infected in the last 1 day is greater than the daily cases percentage in the last 7 days?
nyt_covid_counties_v2,True,usa_counties,What is the total population of the counties with the highest and lowest COVID-19 cases?
nyt_covid_counties_v2,True,usa_counties,Which county has the highest percentage of the population infected with COVID-19 and what is its population density?
nyt_covid_counties_v2,True,usa_counties,In which state with a population over 1 million do the counties have the highest average number of COVID-19 cases?
nyt_covid_counties_v2,True,usa_counties,How does the median age of the population in counties with high COVID-19 cases compare to those with low COVID-19 cases?
nyt_covid_counties_v2,True,usa_counties,What is the average population density of the counties with the highest daily average percentage of the population infected in the last 7 days?
nyt_covid_counties_v2,True,usa_counties,Which state has the highest total number of COVID-19 deaths and what is the total population of that state?
nyt_covid_counties_v2,True,usa_counties,What is the difference in the percentage of the population aged 65 and older between counties with the highest and lowest mortality rates due to COVID-19?
nyt_covid_counties_v2,True,usa_counties,"In counties with a high percentage of the population infected with COVID-19, what is the most common race?"
nyt_covid_counties_v2,True,usa_counties,"Which county with a population under 50,000 has the highest daily average percentage of the population infected in the last 7 days?"
nyt_covid_counties_v2,True,usa_counties,Are there any states where the counties with a higher Hispanic population have a lower daily average percentage of the population infected in the last 7 days compared to other counties in the same state?
usa_shipping_ports,False,,How many shipping ports are there in the United States?
usa_shipping_ports,False,,What is the most common waterway for shipping ports?
usa_shipping_ports,False,,Which state has the highest number of shipping ports?
usa_shipping_ports,False,,"What are the top 5 most common states for shipping ports, and how many ports does each state have?"
usa_shipping_ports,False,,What is the average latitude of shipping ports in the state of Florida?
usa_shipping_ports,False,,Which shipping ports are located on the Mississippi River?
usa_shipping_ports,False,,What proportion of shipping ports are connected to the Atlantic Ocean as a secondary waterway?
usa_shipping_ports,False,,Which shipping port has the northernmost location in the United States?
usa_shipping_ports,False,,What is the most common data source used for the shipping ports information?
usa_shipping_ports,False,,"For shipping ports located in Texas, which ones have the Gulf Intracoastal Waterway as their secondary waterway?"
usa_shipping_ports,True,usa_states,Which state has the highest number of shipping ports per square mile?
usa_shipping_ports,True,usa_states,In which sub-region are the most shipping ports located?
usa_shipping_ports,True,usa_states,What is the average population of states with more than 10 shipping ports?
usa_shipping_ports,True,usa_states,"What are the top 5 states with the highest percentage of shipping ports connected to the Atlantic Ocean, and what is the percentage for each state?"
usa_shipping_ports,True,usa_states,Which state has the highest percentage of shipping ports connected to the Gulf Intracoastal Waterway?
